Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S006-A51,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,JARID2,Test,999,0,Fail,0.00740197595583316,
S006-A50,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,KDM5A,Test,999,0,Fail,0.00740197595583316,
S006-A49,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DNMT3B,Test,999,0,Fail,0.00740197595583316,
S006-A60,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,PTPN6,Test,999,0,Fail,0.00740197595583316,
S006-A59,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TCF3,Test,999,0,Fail,0.00740197595583316,
S006-A58,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,NR0B1(DAX1),Test,999,0,Fail,0.00740197595583316,
S006-A57,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SALL1,Test,999,0,Fail,0.00740197595583316,
S006-A56,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DPPA2,Test,999,0,Fail,0.00740197595583316,
S006-A55,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,Gata6,Test,999,0,Fail,0.00740197595583316,
S006-A66,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SMAD4,Test,999,0,Fail,0.00740197595583316,
S006-A65,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SOX13,Test,999,0,Fail,0.00740197595583316,
S006-A64,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LUM,Test,17.4389433532081,0.852047795630733,Pass,0.00740197595583316,
S006-A63,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,HDAC2,Test,19.5634541153448,0.906844416173843,Pass,0.00740197595583316,
S006-A62,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SETD1A,Test,999,0,Fail,0.00740197595583316,
S006-A61,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,USP16,Test,999,0,Fail,0.00740197595583316,
S006-A72,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CCR7,Test,999,0,Fail,0.00740197595583316,
S006-A71,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,HESX1,Test,999,0,Fail,0.00740197595583316,
S006-A70,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,REST,Test,999,0,Fail,0.00740197595583316,
S006-A69,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SALL4,Test,999,0,Fail,0.00740197595583316,
S006-A68,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,GAL,Test,999,0,Fail,0.00740197595583316,
S006-A67,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,SEMA6A,Test,999,0,Fail,0.00740197595583316,
S006-A78,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,DVL2,Test,999,0,Fail,0.00740197595583316,
S006-A77,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TCL1A,Test,999,0,Fail,0.00740197595583316,
S006-A76,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,GREM1,Test,999,0,Fail,0.00740197595583316,
S006-A75,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,COL3A1,Test,10.2383249119855,0.993591735582581,Pass,0.00740197595583316,
S006-A74,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,JMJD2B,Test,999,0,Fail,0.00740197595583316,
S006-A73,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,PRDM14,Test,999,0,Fail,0.00740197595583316,
S006-A84,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,STEMCCA-P2A,Test,12.1221819013606,1,Pass,0.00740197595583316,
S006-A83,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,CCND1,Test,16.6197002267809,0.986664622792558,Pass,0.00740197595583316,
S006-A82,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,OTX2,Test,999,0,Fail,0.00740197595583316,
S006-A81,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,STAT3,Test,999,0,Fail,0.00740197595583316,
S006-A80,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,LRRN1,Test,999,0,Fail,0.00740197595583316,
S006-A79,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,APOE,Test,999,0,Fail,0.00740197595583316,
S006-A90,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,KDR,Test,999,0,Fail,0.00740197595583316,
S006-A89,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,MASP1,Test,999,0,Fail,0.00740197595583316,
S006-A88,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,Eomes,Test,999,0,Fail,0.00740197595583316,
S006-A87,MONO D11 SSEA4+ Tra1-60- 22,Unknown,1,TDGF1,Test,18.6412678219701,1,Pass,0.00740197595583316,
